cik,year,filename,incorporation_state,incorporation_year,employee_count,fiscal_year_end,headquarters_state,company_product,ceo_lastname
743443,1993,743443_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22767,1993,22767_1993.txt,Texas,1988,4500,December 31,New Mexico,Electricity sales and distribution,NULL
738339,1993,738339_1993.txt,Delaware,1987,12500,December 31,NULL,Hospital services,L.)
29854,1993,29854_1993.txt,Delaware,1902,5697,December 31,Michigan,Automotive parts manufacturing,NULL
97210,1993,97210_1993.txt,Massachusetts,1960,4000,December 31,NULL,Electronic test systems,NULL
7383,1993,7383_1993.txt,Ohio,1917,6600,December 31,Texas,Specialty steel production,NULL
80661,1993,80661_1993.txt,Florida,1965,NULL,December 31,Ohio,Insurance services,NULL
711404,1993,711404_1993.txt,Delaware,1980,NULL,NULL,NULL,Healthcare products and services,NULL
75042,1993,75042_1993.txt,Delaware,1929,6400,December 31,Wisconsin,Apparel manufacturing,NULL
18497,1993,18497_1993.txt,Delaware,1968,257,December 31,NULL,Consumer finance business,NULL
33565,1993,33565_1993.txt,California,1930,3755,December 31,Indiana,Electrical wire and cable,NULL
745287,1993,745287_1993.txt,NULL,1984,4151,December 31,Georgia,Iron casting manufacturing,NULL
93469,1993,93469_1993.txt,Delaware,1925,4800,December 31,NULL,Alarm and security products,NULL
354869,1993,354869_1993.txt,Ohio,1981,2800,December 31,Ohio,Banking and financial services,NULL
36966,1993,36966_1993.txt,Tennessee,1968,5653,December 31,NULL,Banking services,NULL
799036,1993,799036_1993.txt,Delaware,1982,1500,December 31,Illinois,Health and life insurance. Read this SEC 10-K filing excerpt and answer the question,NULL
25890,1993,25890_1993.txt,Pennsylvania,1891,21254,December 31,NULL,Packaging manufacturing,NULL
846902,1993,846902_1993.txt,Delaware,1985,2800,December 31,NULL,Plastic products manufacturing,NULL
764764,1993,764764_1993.txt,NULL,1993,NULL,December 31,Tennessee,Financing of Caterpillar products. Read this SEC 10-K filing excerpt and answer the question,NULL
717605,1993,717605_1993.txt,Arizona,1948,NULL,NULL,California,Advanced composites manufacturing,Lee
92487,1993,92487_1993.txt,Delaware,1993,2033,December 31,NULL,Electricity generation and distribution,McG
79166,1993,79166_1993.txt,Delaware,NULL,130,December 31,NULL,Publishing scientific journals,Tash
355883,1993,355883_1993.txt,NULL,NULL,NULL,NULL,NULL,NOT_FOUND,NULL
865227,1993,865227_1993.txt,NULL,1990,NULL,NULL,NULL,"Retail consumer receivables.  (Note: This is the main business activity of the company, which is to ",NULL
101320,1993,101320_1993.txt,New Jersey,1970,NULL,December 31,New Jersey,Banking services,NULL
64605,1993,64605_1993.txt,Delaware,1975,1,February 28,NULL,NOT_FOUND. (The company has no active business and is looking to combine with another company.)  (No,Shuster
884033,1993,884033_1993.txt,NULL,1992,NULL,NULL,NULL,"Mortgage loan collection. NOT_FOUND. (The company is a trust fund, and its main activity is collecti",NULL
17797,1993,17797_1993.txt,North Carolina,1926,8027,December 31,NULL,Electricity generation and distribution,NULL
216228,1993,216228_1993.txt,Delaware,1920,98000,December 31,NULL,Diversified global enterprise,NULL
791445,1993,791445_1993.txt,New Jersey,1982,24,NULL,New Jersey,Casino hotel operations,NULL
719264,1993,719264_1993.txt,Tennessee,1982,149,December 31,Tennessee,Retail banking services,NULL
92050,1993,92050_1993.txt,Delaware,1947,NULL,December 31,NULL,Refrigeration services. Liquefied petroleum gas. Natural gas and oil interests. Minority investments,NULL
788043,1993,788043_1993.txt,NULL,NULL,NULL,NULL,Pennsylvania,NULL,NULL
29989,1993,29989_1993.txt,Delaware,1985,14400,December 31,New York,Advertising services. Read this SEC 10-K filing excerpt and answer the question,NULL
702163,1993,702163_1993.txt,New Jersey,1982,8780,December 31,New Jersey,Commercial banking services,NULL
75252,1993,75252_1993.txt,Virginia,1926,1674,December 31,Florida,Medical/surgical supplies distribution,NULL
65660,1993,65660_1993.txt,Michigan,1956,5900,NULL,Michigan,Banking and financial services,NULL
108721,1993,108721_1993.txt,California,1975,35000,December 31,NULL,Automotive parts and accessories. Read this SEC 10-K filing excerpt and answer the question,NULL
37748,1993,37748_1993.txt,California,1924,NULL,NULL,NULL,Engineering and construction services,NULL
701345,1993,701345_1993.txt,Delaware,1987,12500,March 31,Virginia,Airline transportation services,Schofield
876858,1993,876858_1993.txt,NULL,1991,NULL,NULL,NULL,Retail consumer receivables.  (Note: This answer is based on the information provided in the excerpt,NULL
310431,1993,310431_1993.txt,California,1979,12507,December 31,Illinois,Contracting and industrial services,NULL
764037,1993,764037_1993.txt,Delaware,1983,NULL,NULL,Florida,Computer hardware manufacturing,NULL
201461,1993,201461_1993.txt,California,1968,NULL,NULL,California,Commercial banking services. Read this SEC 10-K filing excerpt and answer the question,NULL
26780,1993,26780_1993.txt,Ohio,1905,36000,December 31,NULL,Manufacturing and engineering products,NULL
741612,1993,741612_1993.txt,Texas,1983,5000,December 31,Texas,"Electric power generation. TNP ENTERPRISES, INC. FORM 10-K. TNP ENTERPRISES, INC. FORM 10-K",NULL
104669,1993,104669_1993.txt,Delaware,1920,23000,NULL,New Jersey,Pharmaceutical products,NULL
797463,1993,797463_1993.txt,Delaware,1943,33550,December 31,NULL,Financial services company,NULL
51720,1993,51720_1993.txt,Delaware,1925,12500,NULL,NULL,Electricity generation and distribution,Stoppel
100826,1993,100826_1993.txt,Missouri,1922,6417,December 31,NULL,Electric utility services,NULL
40533,1993,40533_1993.txt,Delaware,1952,30500,December 31,NULL,Defense and aerospace products. - 5 - - 6 - - 7 - - 8 - - 9 - - 10 - -,NULL
101830,1993,101830_1993.txt,Kansas,1938,50500,December 31,Kansas,Telecommunications services,NULL
33619,1993,33619_1993.txt,NULL,1967,2800,October 31,NULL,Manufacturing equipment and services,NULL
215419,1993,215419_1993.txt,Pennsylvania,1969,NULL,NULL,New Jersey,Electronic Signatures systems,NULL
40454,1993,40454_1993.txt,Missouri,1946,45000,December 31,Missouri,"Banking services. NOT_FOUND. (The company is a bank holding company, but its main product/service is",NULL
77227,1993,77227_1993.txt,Pennsylvania,1919,5000,December 31,NULL,Electricity generation and distribution,NULL
65358,1993,65358_1993.txt,Delaware,1980,8900,NULL,New York,NOT_FOUND (The company has multiple business segments and activities.)  (Note: The company has four ,NULL
54502,1993,54502_1993.txt,Kansas,1927,12500,December 31,Colorado,Natural gas services,NULL
37785,1993,37785_1993.txt,NULL,NULL,12500,NULL,NULL,NULL,NULL
893486,1993,893486_1993.txt,Texas,1992,12500,NULL,NULL,Oil and gas production,NULL
91576,1993,91576_1993.txt,Florida,1958,12038,December 31,Ohio,Banking and financial services,NULL
790603,1993,790603_1993.txt,Illinois,1986,NULL,NULL,NULL,"Real estate investments. NOT_FOUND. (The company is not a service provider, but rather an investor i",NULL
94601,1993,94601_1993.txt,Delaware,1929,6000,December 31,Massachusetts,"Engineering and construction services. Form 10-K 1993 Stone & Webster, Incorporated Item 1. Business",NULL
92088,1993,92088_1993.txt,Alabama,1967,72000,December 31,NULL,Telecommunications services,NULL
832427,1993,832427_1993.txt,California,1971,7700,December 31,California,Clinical laboratory services,NULL
83047,1993,83047_1993.txt,NULL,1817,1950,December 31,NULL,Property and casualty insurance. Read this SEC 10-K filing excerpt and answer the question,NULL
893928,1993,893928_1993.txt,Arkansas,1949,16525,December 31,NULL,Electric utility services,NULL
789292,1993,789292_1993.txt,NULL,1992,NULL,NULL,NULL,Cable television services,Officer
95301,1993,95301_1993.txt,New York,1929,25000,December 31,Missouri,Diversified industrial products,NULL
7536,1993,7536_1993.txt,New York,1985,4600,NULL,New York,Electronics distribution. Read this SEC 10-K filing excerpt and answer the question,NULL
854884,1993,854884_1993.txt,NULL,1836,6158,December,NULL,Railroad transportation services,NULL
10456,1993,10456_1993.txt,Delaware,1931,200000,December 31,NULL,Health care products and services,NULL
53347,1993,53347_1993.txt,North Carolina,1968,1825,December 31,NULL,Insurance and broadcasting. I-11. NOT_FOUND. I-12. NOT_FOUND. I-13. NOT_FOUND. I-14. NOT,Stonecipher
882240,1993,882240_1993.txt,NULL,NULL,NULL,NULL,NULL,Auto receivables financing. NOT_FOUND. (Note: The company is actually involved in the business of fi,NULL
74208,1993,74208_1993.txt,Virginia,1972,12500,NULL,NULL,Apartment property ownership,NULL
352363,1993,352363_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
815917,1993,815917_1993.txt,Arkansas,1943,2786,NULL,Missouri,Brokerage services,NULL
14957,1993,14957_1993.txt,Delaware,1993,1803,December 31,Ohio,Engineered materials manufacturing,NULL
9892,1993,9892_1993.txt,New Jersey,1923,8450,December 31,New Jersey,Medical device manufacturer. I-5,NULL
860713,1993,860713_1993.txt,Texas,1983,327,December 31,NULL,Oil and gas exploration,NULL
66904,1993,66904_1993.txt,Alabama,1945,12500,NULL,NULL,Electric power generation. I-4,HARRIS
740763,1993,740763_1993.txt,Pennsylvania,1984,8428,December 31,Pennsylvania,Engineering and consulting services,NULL
315189,1993,315189_1993.txt,Delaware,1958,NULL,NULL,NULL,Agricultural equipment manufacturing,NULL
93675,1993,93675_1993.txt,New York,1922,1100,December 31,New York,Home building and construction,NULL
847322,1993,847322_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
836400,1993,836400_1993.txt,Delaware,1988,952,December 31,Texas,Soft drink manufacturing,NULL
771950,1993,771950_1993.txt,Delaware,1981,34101300000,NULL,California,Radio network broadcasting,NULL
20164,1993,20164_1993.txt,Michigan,1926,3100,December 31,Michigan,Automotive financing services,NULL
15393,1993,15393_1993.txt,NULL,1947,NULL,NULL,Maryland,Information services and publishing,NULL
36270,1993,36270_1993.txt,New York,1969,3655,December 31,New York,Commercial banking services,NULL
40874,1993,40874_1993.txt,Delaware,1926,7184,December 31,NULL,Telecommunications services,NULL
812701,1993,812701_1993.txt,Pennsylvania,1942,1320,December 31,Pennsylvania,Activated carbon products,NULL
81061,1993,81061_1993.txt,Florida,1921,29000,NULL,NULL,Retail food supermarkets,NULL
92195,1993,92195_1993.txt,Indiana,1912,774,December 31,Indiana,Electric and gas utilities,NULL
828530,1993,828530_1993.txt,NULL,1987,NULL,June 30,Florida,NOT_FOUND,NULL
67646,1993,67646_1993.txt,Maryland,1923,6025,NULL,NULL,Electric utility services,Bennett
49423,1993,49423_1993.txt,Connecticut,1969,12500,December 31,Connecticut,Public water supply,"McGregor,"
814153,1993,814153_1993.txt,Colorado,1987,NULL,December 31,NULL,NOT_FOUND,NULL
77242,1993,77242_1993.txt,NULL,NULL,NULL,NULL,Pennsylvania,NULL,NULL
20947,1993,20947_1993.txt,Ohio,1985,6748,December 31,Ohio,Electric energy sales,NULL
821026,1993,821026_1993.txt,NULL,1987,NULL,December 31,Ohio,"Grain merchandising. NOT_FOUND. (The main product or service is grain merchandising, but the company",Anderson
716006,1993,716006_1993.txt,Delaware,1993,35000,NULL,NULL,Freight transportation services,NULL
95395,1993,95395_1993.txt,NULL,1985,12500,NULL,NULL,Aerospace products. NOT_FOUND. Aerospace products. Aerospace products. Aerospace products. Aerospace,NULL
793421,1993,793421_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,Latiolais
2024,1993,2024_1993.txt,California,1928,3405,December 31,Illinois,Hardware wholesaling and manufacturing. Read More,NULL
33798,1993,33798_1993.txt,California,1919,NULL,NULL,Massachusetts,Retail building materials,NULL
90185,1993,90185_1993.txt,Delaware,1975,5110,December 31,Missouri,Chemical products and services,NULL
36377,1993,36377_1993.txt,Delaware,1956,3116,December 31,Hawaii,Banking services. Read this SEC 10-K filing excerpt and answer the question,NULL
721083,1993,721083_1993.txt,Delaware,1987,NULL,NULL,NULL,Downhole drilling tool manufacturer,NULL
81100,1993,81100_1993.txt,Washington,1904,2609,December 31,NULL,Electric utility services,NULL
100783,1993,100783_1993.txt,Virginia,1956,19000,December 31,New Jersey,"Paper and paperboard products. NOT_FOUND. (Note: The company has multiple business segments, but pap",NULL
766829,1993,766829_1993.txt,California,1985,324,December 31,California,Water service provision. | ||,WEINHARDT
88204,1993,88204_1993.txt,NULL,1993,NULL,December 31,NULL,Protective packaging materials,NULL
16906,1993,16906_1993.txt,Massachusetts,1902,124,December 31,NULL,Wholesale electric generation. CANAL ELECTRIC COMPANY,NULL
766701,1993,766701_1993.txt,Maryland,1985,NULL,December 31,Texas,Mortgage loan conduit,NULL
30547,1993,30547_1993.txt,New York,1993,2036,NULL,Maryland,Business forms manufacturing,NULL
73124,1993,73124_1993.txt,Delaware,1971,NULL,December 31,Illinois,Financial services and trust,NULL
46080,1993,46080_1993.txt,Rhode Island,1926,12500,NULL,Rhode Island,Toy manufacturing and sales,NULL
740868,1993,740868_1993.txt,Indiana,1985,12500,NULL,Indiana,Window systems manufacturing,NULL
708823,1993,708823_1993.txt,Pennsylvania,1979,500,NULL,Pennsylvania,Biopharmaceutical product development,Holveck
277577,1993,277577_1993.txt,NULL,1989,NULL,April,Texas,Real estate investments,FRIEDMAN
49071,1993,49071_1993.txt,Delaware,1961,4500,December 31,Kentucky,Managed health care services,NULL
77943,1993,77943_1993.txt,NULL,1993,2012,October 31,Texas,Specialty chemical production,Nasser
67686,1993,67686_1993.txt,Delaware,1933,30000,December 31,Missouri,Agricultural products manufacturing,NULL
30573,1993,30573_1993.txt,Pennsylvania,1912,NULL,December 31,Pennsylvania,Electric energy production,NULL
52466,1993,52466_1993.txt,Massachusetts,1948,12500,December 31,Massachusetts,Water purification services,NULL
799319,1993,799319_1993.txt,California,1983,800,December 31,New York,Telecommunications services,"But,"
60026,1993,60026_1993.txt,California,1932,1230000,December 26,Texas,Aerospace products and systems,NULL
72909,1993,72909_1993.txt,Minnesota,1901,893,December 31,NULL,"Electric and gas utility services. NOT_FOUND. (Note: The company is a utility company, but it is not",NULL
806086,1993,806086_1993.txt,NULL,1983,1200,NULL,Washington,Diagnostic medical ultrasound systems,NULL
801124,1993,801124_1993.txt,Massachusetts,1986,NULL,NULL,NULL,"Real estate investments. NOT_FOUND. (The company is a real estate investment trust, or REIT, and its",NULL
105839,1993,105839_1993.txt,Maryland,1923,6025,NULL,NULL,Electric utility services,Bennett
25445,1993,25445_1993.txt,New York,1855,8700,December 31,NULL,Engineered industrial products,NULL
13239,1993,13239_1993.txt,NULL,1899,NULL,NULL,NULL,NOT_FOUND,NULL
311094,1993,311094_1993.txt,Delaware,1995,12500,NULL,California,Telecommunications services.  Source: Item 1 Business,NULL
47129,1993,47129_1993.txt,Delaware,1967,41,December 31,New Jersey,Automobile rental services,NULL
205402,1993,205402_1993.txt,New York,1925,5100,December 31,NULL,Wholesale electrical distribution,NULL
36326,1993,36326_1993.txt,Georgia,1971,14000,December 31,Georgia,Data processing services,NULL
859257,1993,859257_1993.txt,NULL,1990,NULL,NULL,NULL,"Retail consumer receivables.  (Note: This is the main business activity of the company, which is to ",NULL
79879,1993,79879_1993.txt,Pennsylvania,1883,31400,December 31,NULL,Coatings and chemicals manufacturer,NULL
42293,1993,42293_1993.txt,California,1959,NULL,December 31,California,Savings and loan business,NULL
3153,1993,3153_1993.txt,Alabama,1945,12500,NULL,NULL,Electric power generation. I-4,HARRIS
9548,1993,9548_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
311871,1993,311871_1993.txt,California,1940,NULL,December 31,Georgia,Wood products and pulp,NULL
354396,1993,354396_1993.txt,NULL,NULL,12500,NULL,Maryland,Insurance services. NOT_FOUND. Insurance. NOT_FOUND. Insurance services. Insurance. Insurance servic,NULL
96943,1993,96943_1993.txt,Pennsylvania,1943,8000,December 26,NULL,Precision mechanical controls,NULL
728586,1993,728586_1993.txt,Delaware,1965,500,March 30,New York,Investment banking services,NULL
93542,1993,93542_1993.txt,New York,NULL,12500,NULL,Massachusetts,Giftware and collectibles. Read this SEC 10-K filing excerpt and answer the question,NULL
96638,1993,96638_1993.txt,Delaware,1974,NULL,December 31,Delaware,Credit card services,NULL
99193,1993,99193_1993.txt,California,1920,4031,December 31,California,Consumer lending services,NULL
52477,1993,52477_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
277821,1993,277821_1993.txt,California,1954,2000,December 31,California,Education and training services,NULL
72903,1993,72903_1993.txt,Minnesota,1909,3,NULL,Minnesota,Electric and gas utility services,NULL
86772,1993,86772_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30554,1993,30554_1993.txt,Delaware,1915,1140000,NULL,Delaware,Chemicals and petroleum products,NULL
276999,1993,276999_1993.txt,NULL,NULL,1962,December 31,NULL,"Formulation, manufacture coatings. - 6 - - 1. Business - - -----------------",NULL
73902,1993,73902_1993.txt,New York,1991,NULL,NULL,Illinois,Diversified services company,NULL
774203,1993,774203_1993.txt,North Carolina,1956,15531,December 31,North Carolina,Banking services. NOT_FOUND. (Note: The company is a bank holding company with various subsidiaries ,NULL
7323,1993,7323_1993.txt,Arkansas,1949,16525,December 31,NULL,Electric utility services,NULL
55785,1993,55785_1993.txt,Delaware,1928,42131,December 31,Georgia,Manufacturing and marketing products,NULL
24454,1993,24454_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
313616,1993,313616_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79732,1993,79732_1993.txt,Delaware,1896,4500,NULL,NULL,Electric energy sales,NULL
732714,1993,732714_1993.txt,Delaware,1983,1250000,NULL,New York,Telecommunications services,NULL
352947,1993,352947_1993.txt,New Jersey,1981,5750,December 31,New Jersey,Specialty chemical products,NULL
740582,1993,740582_1993.txt,Maryland,1984,74,December 31,NULL,"Real estate investments. NOT_FOUND. (Note: The company is a real estate limited partnership, and its",NULL
74928,1993,74928_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72971,1993,72971_1993.txt,Delaware,1929,35000,December 31,Iowa,Banking and financial services,NULL
103392,1993,103392_1993.txt,Delaware,1970,3712318237123182371231823712318,December 31,New York,Packaging manufacturing,NULL
50548,1993,50548_1993.txt,Delaware,1907,NULL,NULL,Illinois,Steel production and sales,NULL
101382,1993,101382_1993.txt,Missouri,1967,3718,December 31,Kansas,Commercial banking services. NOT_FOUND. (The company is a bank holding company with multiple subsidi,NULL
840216,1993,840216_1993.txt,Delaware,1989,92,March 31,California,Real estate development,NULL
107832,1993,107832_1993.txt,Illinois,1917,2673,December 31,NULL,Electric power generation,NULL
714655,1993,714655_1993.txt,Massachusetts,1978,NULL,NULL,Massachusetts,Biopharmaceutical research and development,NULL
36995,1993,36995_1993.txt,North Carolina,1967,NULL,December 31,North Carolina,Banking services,NULL
740694,1993,740694_1993.txt,NULL,1983,1671,NULL,Florida,Custom-engineered products,NULL
35527,1993,35527_1993.txt,Ohio,1974,118,December 31,Ohio,Banking services. ____________________ (R) Registered Trademark with U.S. Pat. & T.M. Office (SM) Se,NULL
814677,1993,814677_1993.txt,California,1986,NULL,December 31,California,Equipment leasing services,NULL
100923,1993,100923_1993.txt,Delaware,1891,3570,December 31,NULL,Railcar leasing services,NULL
66740,1993,66740_1993.txt,Delaware,1929,86168,NULL,Minnesota,Manufacturing and marketing products. NOT_FOUND. (Note: The company's main business is manufacturing,NULL
25885,1993,25885_1993.txt,Maryland,1920,3031,December 31,Texas,Petroleum products refining,"CEO,"
92236,1993,92236_1993.txt,Delaware,1973,2230,December 31,NULL,Oil and gas exploration. I-1. I-2. I-3. I-4. I-5. I-6. I,NULL
200245,1993,200245_1993.txt,Delaware,1960,8640,December 31,New York,Financial services,NULL
310433,1993,310433_1993.txt,Pennsylvania,1979,1282,December 31,NULL,Telecommunications services. - - -6- - - -7- - - -8- - - -9- - - -10- -,NULL
860004,1993,860004_1993.txt,NULL,1990,NULL,NULL,NULL,Retail consumer receivables.  (Note: This answer is based on the information provided in the excerpt,NULL
754737,1993,754737_1993.txt,South Carolina,1984,478848494788,December 31,South Carolina,Regulated utilities services,NULL
74783,1993,74783_1993.txt,Arizona,1968,NULL,December 31,NULL,Specialty property insurance,NULL
1800,1993,1800_1993.txt,Illinois,1900,49659,December 31,Illinois,Pharmaceutical and nutritional products,NULL
105418,1993,105418_1993.txt,Pennsylvania,1924,15000,December 25,NULL,Retail sale of food,NULL
711513,1993,711513_1993.txt,Delaware,1968,1100,December 31,NULL,Commercial aircraft financing,NULL
48305,1993,48305_1993.txt,Delaware,1927,52200,December 31,Minnesota,Automation and control systems,NULL
711604,1993,711604_1993.txt,Illinois,1982,NULL,NULL,NULL,Real estate investments,NULL
9659,1993,9659_1993.txt,Virginia,1962,5753,December 31,Virginia,Banking services,NULL
9534,1993,9534_1993.txt,NULL,1957,2334,December 31,Iowa,Tire retreading services,NULL
59198,1993,59198_1993.txt,NULL,1993,15012,December 31,Ohio,Engineered components manufacturing,NULL
351145,1993,351145_1993.txt,Delaware,1969,3799,December 31,Alabama,Interactive computer graphics systems,NULL
51296,1993,51296_1993.txt,NULL,1934,NULL,October 31,Illinois,Medium and heavy truck manufacturing,NULL
15840,1993,15840_1993.txt,Delaware,1902,3064,December 31,Kansas,Building systems manufacturing,NULL
71180,1993,71180_1993.txt,Nevada,1929,NULL,December 31,Arizona,Electric utility services,NULL
34501,1993,34501_1993.txt,Texas,1947,5300,November 5,NULL,Apparel manufacturing,NULL
7431,1993,7431_1993.txt,Pennsylvania,1891,21000,December 31,NULL,Interior furnishings manufacturer. - 8 - (Note: This answer is based on the first sentence of the It,Adams
310158,1993,310158_1993.txt,New Jersey,1970,21600,December 31,New Jersey,Pharmaceutical products,NULL
7649,1993,7649_1993.txt,New Jersey,1899,8500,December 31,NULL,Nonferrous metals production. A6,NULL
25600,1993,25600_1993.txt,Indiana,1974,7300,December 31,NULL,Consumer finance operations,NULL
34285,1993,34285_1993.txt,Texas,1953,12500,December 31,Texas,Conditioning and testing products,NULL
4310,1993,4310_1993.txt,California,1968,1,December 31,California,Pharmaceutical product development,NULL
351979,1993,351979_1993.txt,NULL,NULL,NULL,NULL,Delaware,NULL,NULL
31986,1993,31986_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
722079,1993,722079_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49588,1993,49588_1993.txt,NULL,1985,NULL,December 31,NULL,Insurance services,NULL
732712,1993,732712_1993.txt,Delaware,1983,1250000,December 31,NULL,Telecommunications services,NULL
722573,1993,722573_1993.txt,California,1980,293000,December 31,NULL,Managed health care services,Courtright
64803,1993,64803_1993.txt,New York,1993,110000,December 31,NULL,Retailing and manufacturing,NULL
817473,1993,817473_1993.txt,Delaware,1986,22,December 31,NULL,Lending and investing services,NULL
52485,1993,52485_1993.txt,NULL,NULL,NULL,NULL,Iowa,NULL,Liu
310569,1993,310569_1993.txt,Delaware,1979,1250000,NULL,Missouri,Beer production and sales,NULL
859119,1993,859119_1993.txt,Delaware,1989,3306,December 31,NULL,Railroad transportation services,NULL
78066,1993,78066_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
277509,1993,277509_1993.txt,Delaware,1969,NULL,December 31,NULL,Public safety equipment manufacturer,NULL
64908,1993,64908_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
893958,1993,893958_1993.txt,Delaware,1992,NULL,NULL,NULL,Asset-backed financing,NULL
868482,1993,868482_1993.txt,NULL,1990,NULL,NULL,NULL,"Retail consumer receivables.  (Note: This is the main business activity of the company, which is to ",NULL
765813,1993,765813_1993.txt,Illinois,1984,NULL,NULL,NULL,"Real estate investments. NOT_FOUND. (Note: The company is not a service provider, but rather an inve",NULL
351825,1993,351825_1993.txt,Georgia,1980,12500,December 31,NULL,Banking services,NULL
64782,1993,64782_1993.txt,Pennsylvania,1971,50000,December 31,Pennsylvania,Banking and financial services,NULL
75527,1993,75527_1993.txt,California,1907,17,NULL,NULL,Natural gas distribution,NULL
821480,1993,821480_1993.txt,NULL,1994,NULL,NULL,NULL,Cable television services,Officer
793548,1993,793548_1993.txt,New Jersey,1956,5863,December 31,New Jersey,Commercial banking services,NULL
63073,1993,63073_1993.txt,Massachusetts,1926,5000,December 31,NULL,Electric utility services,Vice
36672,1993,36672_1993.txt,Massachusetts,1970,18600,December 31,Massachusetts,Financial services,NULL
879209,1993,879209_1993.txt,NULL,1991,NULL,NULL,NULL,"Retail consumer receivables.  (Note: This is the main business activity of the company, which is to ",NULL
705752,1993,705752_1993.txt,California,1982,NULL,NULL,NULL,Real estate investment,NULL
4515,1993,4515_1993.txt,Delaware,1934,95800,December 31,Texas,Airline transportation services,NULL
18230,1993,18230_1993.txt,Delaware,1994,51250,December 31,Illinois,Machinery and engine manufacturing,NULL
812427,1993,812427_1993.txt,New Jersey,1918,28600,NULL,NULL,Chemicals and pharmaceuticals,Drew
68813,1993,68813_1993.txt,South Carolina,1888,417000,December 31,Kansas,Media and broadcasting services,NULL
352510,1993,352510_1993.txt,Delaware,1980,35,December 31,New York,Commercial banking services,NULL
701811,1993,701811_1993.txt,Oregon,1981,2100,December 31,Oregon,Electronic design automation,NULL
4969,1993,4969_1993.txt,Delaware,1962,60,December 31,NULL,Credit card receivables purchases. NOT_FOUND. (Credit card receivables purchases is the main busines,NULL
91767,1993,91767_1993.txt,South Carolina,1899,16472,December 31,South Carolina,Packaging products manufacturer,Coker
27984,1993,27984_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84792,1993,84792_1993.txt,NULL,NULL,12500,NULL,NULL,Chemical manufacturing,NULL
7974,1993,7974_1993.txt,Delaware,1967,12400,December 31,NULL,Consumer finance services,NULL
10427,1993,10427_1993.txt,New York,1908,15900,December 25,New York,Personal health products,The
78890,1993,78890_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
