cik,year,filename,incorporation_state,incorporation_year,employee_count,fiscal_year_end,headquarters_state,company_product,ceo_lastname,ceo_fullname_backup
88204,1993,88204_1993.txt,,1993,"2,750",,,,,
766701,1993,766701_1993.txt,,1993,83,,,,,
73124,1993,73124_1993.txt,Delaware,1971,,,,,,
708823,1993,708823_1993.txt,Pennsylvania,1979,500,,Pennsylvania,,Tempel,
49071,1993,49071_1993.txt,January,1961,"63,700",,Kentucky,,,
67686,1993,67686_1993.txt,,1933,"30,000",,,,,
30573,1993,30573_1993.txt,,1990,"4,042",,,,,
52466,1993,52466_1993.txt,Massachusetts,1993,,,Massachusetts,,,
799319,1993,799319_1993.txt,,,780,,California,,Sudikoff,
60026,1993,60026_1993.txt,California,1932,"83,500",,California,,,
72909,1993,72909_1993.txt,,1901,893,,Wisconsin,,,
806086,1993,806086_1993.txt,,1969,"1,977",,,,,
105839,1993,105839_1993.txt,Maryland,1925,"1,962",,,,Baum,
47129,1993,47129_1993.txt,Delaware,1967,"4,800",,,,Olson,
205402,1993,205402_1993.txt,New York,,,,Missouri,,,
36326,1993,36326_1993.txt,,1971,"11,500",,,,,
79879,1993,79879_1993.txt,Pennsylvania,1994,,,,,,
42293,1993,42293_1993.txt,,1959,,,,,Sandler,
3153,1993,3153_1993.txt,Delaware,1906,,,,,Hutchins,
311871,1993,311871_1993.txt,,1940,"3,100",December 31,,,,
96943,1993,96943_1993.txt,December,1943,"8,000",,,,,
728586,1993,728586_1993.txt,Lehman Brothers Financial Products Inc,1993,,,New York,,,
96638,1993,96638_1993.txt,Delaware,1974,"1,614",,,,,
99193,1993,99193_1993.txt,Delaware,1928,,,,,,
277821,1993,277821_1993.txt,California,1954,600,,,,,
72903,1993,72903_1993.txt,Delaware,1909,,,Minnesota,,,
30554,1993,30554_1993.txt,Delaware,1915,,,,,,
774203,1993,774203_1993.txt,Georgia,1993,,,,,,
7323,1993,7323_1993.txt,Florida,1926,"16,679",,,,,
55785,1993,55785_1993.txt,Delaware,1928,"42,131",,,,,
79732,1993,79732_1993.txt,,1949,,,,,Mitchell,
732714,1993,732714_1993.txt,New York,1993,"76,200",,New York,"financing transportation, industrial, and commercial equipment and facilities to a broad range of companies through leasing transactions unrelated to ",,
72971,1993,72971_1993.txt,Delaware,1929,,,,"providing, directly or through reinsurance arrangements, credit life and credit disability insurance as a part of Norwest Financial's consumer finance",,
103392,1993,103392_1993.txt,Delaware,1970,,,,,,
840216,1993,840216_1993.txt,,,92,,California,,,
107832,1993,107832_1993.txt,Wisconsin,1993,,,,,,
36995,1993,36995_1993.txt,North Carolina,1967,,,North Carolina,,,
35527,1993,35527_1993.txt,June,1974,,,,leasing personal property,,
814677,1993,814677_1993.txt,,1991,215,,,,,
100923,1993,100923_1993.txt,Delaware,1992,"3,570",,,leasing tank cars in the United States and Canada,,
92236,1993,92236_1993.txt,Delaware,1973,,,Alabama,,,
310433,1993,310433_1993.txt,,1979,"1,282",,,,,
74783,1993,74783_1993.txt,Delaware,1968,,,,,,
711513,1993,711513_1993.txt,Delaware,1968,110,,,,,
9659,1993,9659_1993.txt,Virginia,1962,,,,,,
9534,1993,9534_1993.txt,,1957,"2,334",,,,,
351145,1993,351145_1993.txt,,1969,"1,900",,,,,
15840,1993,15840_1993.txt,Missouri,1901,,,,,,
71180,1993,71180_1993.txt,,1929,109,,,,,
34501,1993,34501_1993.txt,,1947,,November 5,,,,
310158,1993,310158_1993.txt,,1970,"11,200",,,,,
25600,1993,25600_1993.txt,Indiana,1974,,,,,,
34285,1993,34285_1993.txt,Texas,1953,409,,,"equipment used to condition and test integrated circuits (""ICs"")",,
4310,1993,4310_1993.txt,California,1987,"1,078",,,,,
49588,1993,49588_1993.txt,Delaware,1992,,,,,,
732712,1993,732712_1993.txt,,1983,,,Pennsylvania,"providing wireless communications products and services, including cellular mobile service",,
722573,1993,722573_1993.txt,California,1981,465,,California,,,
64803,1993,64803_1993.txt,,1992,,December 31,,,,
859119,1993,859119_1993.txt,Delaware,1989,,,,,,
64782,1993,64782_1993.txt,Pennsylvania,1993,,,,,,
75527,1993,75527_1993.txt,California,1907,,,California,,,
793548,1993,793548_1993.txt,,1994,,December 31,,,,
63073,1993,63073_1993.txt,Mass,1993,"5,000",,,,Dickson,
36672,1993,36672_1993.txt,Massachusetts,1970,,,,,,
705752,1993,705752_1993.txt,August,1993,,,,,,
4515,1993,4515_1993.txt,,1934,"95,800",,,,,
812427,1993,812427_1993.txt,,1991,"2,000",,New Jersey,,Dormann,
68813,1993,68813_1993.txt,,1990,"3,500",,,,,
352510,1993,352510_1993.txt,Delaware,1980,,,,,,
4969,1993,4969_1993.txt,Delaware,1962,60,,,"purchasing most Cardmember receivables arising from the use of the American Express R Card, including the American Express R Gold Card, Platinum Card ",,
91767,1993,91767_1993.txt,,1993,"1,600",,,,,
10427,1993,10427_1993.txt,New York,1908,,,,,,
72945,1993,72945_1993.txt,Delaware,1985,,,,,,
792863,1993,792863_1993.txt,,1972,675,,,,,
861388,1993,861388_1993.txt,November,1991,500,,,,,
912025,1993,912025_1993.txt,,,,,Pennsylvania,,Tanenbaum,
312667,1993,312667_1993.txt,Florida,1959,223,,California,,,
84613,1993,84613_1993.txt,,1993,198,,,,Vanderhoef,
42872,1993,42872_1993.txt,,1991,"34,000",,Florida,,,
69952,1993,69952_1993.txt,Pennsylvania,1994,,December 31,Pennsylvania,,,
41091,1993,41091_1993.txt,Delaware,1906,,,,,Hutchins,
77098,1993,77098_1993.txt,,1990,,,,workers' compensation insurance in California,,
17206,1993,17206_1993.txt,Delaware,1969,350,,,,,
857571,1993,857571_1993.txt,New York,1906,"20,007",,,,,
30099,1993,30099_1993.txt,Delaware,1956,"15,700",October 31,Texas,,,
745448,1993,745448_1993.txt,Delaware,1984,,,,,,
315641,1993,315641_1993.txt,Registrant,1979,29,,,,,
41499,1993,41499_1993.txt,Delaware,1917,,,,,,
855433,1993,855433_1993.txt,Delaware,1977,979,,,,,
811664,1993,811664_1993.txt,March,1993,,,Virginia,,William,
18808,1993,18808_1993.txt,Vermont,1977,,,,"purchasing bulk power for resale, at cost, to the Company and the other electric utilities (cooperative, municipal and investor-owned) in Vermont (the",Webb,
65622,1993,65622_1993.txt,Michigan,1993,"12,021",,Illinois,"furnishing a wide variety of advanced telecommunications services in Michigan, including local exchange and toll service and network access services",,
743368,1993,743368_1993.txt,Delaware,1964,,,South Carolina,,,
25506,1993,25506_1993.txt,,1972,4960,,,,,
109380,1993,109380_1993.txt,Utah,1955,,,,,,
78128,1993,78128_1993.txt,,1968,,,,,De,
69598,1993,69598_1993.txt,,1928,,,Illinois,,,
894651,1993,894651_1993.txt,New Jersey,1959,,,,fixed rate annuities primarily to employees of qualified not-for-profit organizations under Section 403(b) of the Internal Revenue Code,,
101063,1993,101063_1993.txt,,1991,,,,,Lindner,
355429,1993,355429_1993.txt,,1907,990,,,,Nabers,
716783,1993,716783_1993.txt,Maryland,1977,105,,Virginia,,,
63276,1993,63276_1993.txt,California,1948,,,California,,,
789388,1993,789388_1993.txt,,1982,"2,276",,,,,
770461,1993,770461_1993.txt,Florida,,,,,"acquiring, racing and selling standardbred race horses (pacers and trotters",,
764542,1993,764542_1993.txt,,1993,"1,200",,,,,
79636,1993,79636_1993.txt,December,1930,,,,,,
101778,1993,101778_1993.txt,,1901,"15,000",,PA,,,
100893,1993,100893_1993.txt,Tennessee,1971,"3,457",,,,,
74931,1993,74931_1993.txt,Delaware,1960,"1,400",,New York,,,
26058,1993,26058_1993.txt,,1929,309,,Indiana,,,
320335,1993,320335_1993.txt,Delaware,1981,"2,653",,,,,
81362,1993,81362_1993.txt,,,"1,006",,,cold-rolled steel,,
71508,1993,71508_1993.txt,Florida,1926,"16,679",,,,,
40867,1993,40867_1993.txt,Wisconsin,1993,"17,382",,,,,
710979,1993,710979_1993.txt,Delaware,1993,"46,000",,,,Huizenga,
71428,1993,71428_1993.txt,New Jersey,1991,,,,,,
78100,1993,78100_1993.txt,Pennsylvania,1929,,,,,,
751190,1993,751190_1993.txt,California,1968,"1,100",,,,,
313058,1993,313058_1993.txt,Louisiana,1930,,,Texas,,,
796370,1993,796370_1993.txt,December,1993,,,,,,
829732,1993,829732_1993.txt,,1993,524,,,,,
807711,1993,807711_1993.txt,,,1800,,,,Rubenstein,
18792,1993,18792_1993.txt,December,1993,"5,900",,,,,
736157,1993,736157_1993.txt,Delaware,1922,,,,,,
350847,1993,350847_1993.txt,Delaware,1991,,,,,Allbritton,
3673,1993,3673_1993.txt,Maryland,1925,"1,962",,,,Baum,
275177,1993,275177_1993.txt,North Carolina,1968,"4,308",,,"furnishing communication services, mainly local and long-distance services and network access, in 145 exchange areas serving all or part of 50 countie",,
19722,1993,19722_1993.txt,Maryland,1991,,,,,,
19150,1993,19150_1993.txt,New York,1993,,December 31,,,,
55642,1993,55642_1993.txt,Texas,1947,"4,200",,,,,
354647,1993,354647_1993.txt,California,1990,,,,,,
791269,1993,791269_1993.txt,Delaware,1925,"128,000",,Michigan,,,
54045,1993,54045_1993.txt,Illinois,,"2,025",,,,,
824430,1993,824430_1993.txt,Colorado,,,,CA,,,
84557,1993,84557_1993.txt,,1904,"2,536",,,,,
21271,1993,21271_1993.txt,Delaware,1955,"1,740",,Texas,,,
12400,1993,12400_1993.txt,South Dakota,1941,,,,,,
806027,1993,806027_1993.txt,,1993,"31,000",,,,Cantu,
71344,1993,71344_1993.txt,,1993,"22,000",,Massachusetts,,,
51303,1993,51303_1993.txt,Delaware,1949,,,,,,
745276,1993,745276_1993.txt,Ohio,1926,,,,,,
792397,1993,792397_1993.txt,California,1993,"9,097",,California,,,
789895,1993,789895_1993.txt,,1991,,,,,Depp,
703559,1993,703559_1993.txt,New Jersey,1982,400,,,,,
71304,1993,71304_1993.txt,,1986,,,,,,Poist President
794323,1993,794323_1993.txt,Delaware,1941,,,,,,
18651,1993,18651_1993.txt,Illinois,1985,,,,,,
52428,1993,52428_1993.txt,Delaware,1993,,,Minnesota,,,
40779,1993,40779_1993.txt,,1946,"11,939",,,,Leva,
43960,1993,43960_1993.txt,,1965,261,,,,,
22606,1993,22606_1993.txt,Illinois,1993,,,Illinois,,,
96977,1993,96977_1993.txt,,1955,"2,834",,,,,
778439,1993,778439_1993.txt,,1993,"2,600",,,,Gross,
51644,1993,51644_1993.txt,Delaware,1902,,,,,,
19719,1993,19719_1993.txt,New York,1991,,,,,,
35214,1993,35214_1993.txt,Ohio,1919,"6,627",,,,,
716133,1993,716133_1993.txt,Ohio,1984,"14,700",,Ohio,,,
316901,1993,316901_1993.txt,,1967,,,,,Finnegan,
25757,1993,25757_1993.txt,Massachusetts,1900,"2,352",,,,,
10497,1993,10497_1993.txt,,1993,,,,,Crozier,
88034,1993,88034_1993.txt,,,"1,700",,,,Castellini,
91928,1993,91928_1993.txt,,1990,,,,"operating, through subsidiaries, various business enterprises",,
829218,1993,829218_1993.txt,,1993,130,,,,,
823549,1993,823549_1993.txt,,1995,"75,000",,,,,
52491,1993,52491_1993.txt,Illinois,1940,"1,423",,Iowa,"generating, transmitting, distributing and selling electric energy and distributing, selling and transporting natural gas in the States of Illinois an",,
55604,1993,55604_1993.txt,Delaware,1955,,,,,,
72741,1993,72741_1993.txt,,1990,"2,242",,,,,
19724,1993,19724_1993.txt,West Virginia,1991,,,,,,
810021,1993,810021_1993.txt,,,,,Texas,,Benninger,
773910,1993,773910_1993.txt,,1985,,,Texas,,,
96966,1993,96966_1993.txt,Iowa,1968,,September 30,Illinois,,,
7286,1993,7286_1993.txt,,1920,,,Arizona,,,
60751,1993,60751_1993.txt,Ohio,1928,"4,613",,,,,
313749,1993,313749_1993.txt,Delaware,1979,"1,600",,California,"investing in real estate and that, in any taxable year, meets certain requirements that qualify it as a REIT generally is not subject to federal incom",,
94673,1993,94673_1993.txt,Delaware,1969,"1,500",,Colorado,,,
74145,1993,74145_1993.txt,,1902,,,Oklahoma,,,
39547,1993,39547_1993.txt,,1929,"11,200",,Georgia,,,
11199,1993,11199_1993.txt,,1965,"7,600",,,,,
18540,1993,18540_1993.txt,Delaware,1925,"8,707",,,,,
63917,1993,63917_1993.txt,Maryland,1939,,,,,,
82231,1993,82231_1993.txt,,1956,"1,195",,,,,
46195,1993,46195_1993.txt,Hawaii,1993,,,,,,
98362,1993,98362_1993.txt,Ohio,1904,,,,,,
704469,1993,704469_1993.txt,Kentucky,1981,,,,,,
5187,1993,5187_1993.txt,,1926,"51,399",,,,,
16422,1993,16422_1993.txt,,1993,614,December 31,California,,,
73918,1993,73918_1993.txt,Delaware,1931,,,,,,
852772,1993,852772_1993.txt,Delaware,1988,"123,000",,,,,
22198,1993,22198_1993.txt,New York,1906,"20,007",,,,,
44801,1993,44801_1993.txt,Ohio,1964,,,,,,
37076,1993,37076_1993.txt,Wisconsin,1929,926,,,,,
60860,1993,60860_1993.txt,Delaware,1992,,,,,,
752302,1993,752302_1993.txt,Michigan,1993,,,,,,
731859,1993,731859_1993.txt,,1942,12,,,financing acquisitions by the Company and holding and leasing commercial real estate in Israel,,
860730,1993,860730_1993.txt,Nevada,1983,"131,600",,Kentucky,,,
792014,1993,792014_1993.txt,Maryland,1993,,,Nevada,"acquiring modified mortgage-backed pass through certificates (""GNMA Certificates"") and then issuing and selling bonds (Bonds) backed by the GNMA Certi",,
109261,1993,109261_1993.txt,,1971,"1,600",,California,,,
701221,1993,701221_1993.txt,Delaware,1981,,,,,,
73020,1993,73020_1993.txt,Oregon,1910,"1,293",,,,,
763907,1993,763907_1993.txt,Maryland,1985,,,,,Stanton,
40545,1993,40545_1993.txt,,,,,CT,,Nardelli,
106752,1993,106752_1993.txt,Ohio,1915,,,,,Askins,
22099,1993,22099_1993.txt,Delaware,1944,"10,114",,,,,
68622,1993,68622_1993.txt,Colorado,1993,,,,,,
21267,1993,21267_1993.txt,Delaware,1972,,,,,,
40865,1993,40865_1993.txt,,1989,"8,210",,,,,
795581,1993,795581_1993.txt,Delaware,1985,39,,,,Orr,
107833,1993,107833_1993.txt,July,1993,,,,,,
778437,1993,778437_1993.txt,,1990,,,,,Bricker,
31617,1993,31617_1993.txt,New York,1925,140,,,,,
27996,1993,27996_1993.txt,Minnesota,1920,,,,,,
774459,1993,774459_1993.txt,Maryland,1925,"1,962",,,,Baum,
73945,1993,73945_1993.txt,Ohio,1993,,,Ohio,"furnishing a wide variety of advanced telecommunications services in Ohio, including local exchange and toll service and network access services",,
97349,1993,97349_1993.txt,Delaware,1941,,,,,,
106170,1993,106170_1993.txt,,1990,"2,242",,,,,
37637,1993,37637_1993.txt,Florida,1993,,,,,Bostick,
18926,1993,18926_1993.txt,,1968,,September 30,,,Williams,
732713,1993,732713_1993.txt,,1983,"10,200",,Georgia,,,
50104,1993,50104_1993.txt,Delaware,1968,40,,,,,
64040,1993,64040_1993.txt,December,1993,,,,,,
726513,1993,726513_1993.txt,Illinois,1968,,,,,,
92081,1993,92081_1993.txt,Delaware,1968,,,,,,
73088,1993,73088_1993.txt,Delaware,1923,473,,,,,
54381,1993,54381_1993.txt,,1945,,,,,Cahill,
23426,1993,23426_1993.txt,,1990,"2,242",,,,,
823393,1993,823393_1993.txt,Delaware,1969,,,,"placing deposits with, or selling interests in deposits of, an insured depository institution) unless (i) it is well capitalized, or (ii) it is adequa",,
62142,1993,62142_1993.txt,Delaware,1958,"5,677",,,,,
97886,1993,97886_1993.txt,,1993,,December 31,,,,
835669,1993,835669_1993.txt,Maryland,1988,,,,purchasing or otherwise acquiring mortgages and other liens on and interests in real estate,,
36510,1993,36510_1993.txt,Ireland,1973,,,,,,
810113,1993,810113_1993.txt,,1928,194,,,,Van,
101001,1993,101001_1993.txt,Delaware,1993,"81,511",,Illinois,,,
719227,1993,719227_1993.txt,March,1990,,,,,,
3721,1993,3721_1993.txt,Delaware,1993,"2,500",,,,,
92122,1993,92122_1993.txt,Delaware,1906,,,,,Hutchins,
320321,1993,320321_1993.txt,Texas,1973,,,,,,
72020,1993,72020_1993.txt,,1976,"3,500",,,,,
28729,1993,28729_1993.txt,Delaware,1991,,,,,,
807862,1993,807862_1993.txt,Delaware,1980,"123,000",,,,,
65873,1993,65873_1993.txt,June,1991,"14,864",,,,,
768170,1993,768170_1993.txt,,1993,,,,providing lease financing for PBI products as well as other financial services for the commercial and industrial markets,,
3133,1993,3133_1993.txt,,1970,"5,177",,,,,
101839,1993,101839_1993.txt,Ohio,1965,,,,furnishing communications services consisting mainly of local and long-distance services and network access,,
24011,1993,24011_1993.txt,,1968,"12,255",December 31,,,,
70684,1993,70684_1993.txt,,,,,,originating and servicing commercial and residential real estate loans,Robert,
47580,1993,47580_1993.txt,Delaware,1993,,December 31,California,"furniture, furnishings, equipment and supplies to hotels, motels and inns throughout the United States and, through a 51%-owned company, is engaged in",,
4962,1993,4962_1993.txt,New York,1965,"64,493",,,,,
41077,1993,41077_1993.txt,,1927,,,,,Correll,Alston D. Correll
38009,1993,38009_1993.txt,Delaware,1959,"8,972",,Michigan,,,
7214,1993,7214_1993.txt,Delaware,1986,"2,300",,,,,
806031,1993,806031_1993.txt,,1991,,,,,Depp,
313478,1993,313478_1993.txt,,1973,101,,,,,
59498,1993,59498_1993.txt,October,1994,,December 31,,,,
49789,1993,49789_1993.txt,Illinois,1993,"17,785",,Illinois,"furnishing a wide variety of advanced telecommunications services in Illinois, including local exchange and toll service and network access services",,
711054,1993,711054_1993.txt,November,1984,,,,,,
803649,1993,803649_1993.txt,,1997,,,Massachusetts,,,
81076,1993,81076_1993.txt,,1938,533,December 31,,,,
811930,1993,811930_1993.txt,,1993,"2,550",,,,,
59255,1993,59255_1993.txt,,1993,"4,000",,,,,
732715,1993,732715_1993.txt,,1983,"48,000",,Illinois,"furnishing a wide variety of advanced telecommunications services, including local exchange and toll service, network access and telecommunications pr",,
62741,1993,62741_1993.txt,,1959,,,Wisconsin,,,Wendell F. President
70415,1993,70415_1993.txt,Delaware,1959,,,,in-furnace vitrification for long-term stabilization of mixed waste,,
784977,1993,784977_1993.txt,December,1930,,,,,,
880416,1993,880416_1993.txt,,1990,"2,242",,,,,
78853,1993,78853_1993.txt,Pennsylvania,1994,,,Pennsylvania,,Jackson,
60527,1993,60527_1993.txt,Florida,1926,"16,679",,,,,
71689,1993,71689_1993.txt,,1993,"40,500",,New York,,,
804055,1993,804055_1993.txt,Delaware,1944,"26,500",,,,,
40858,1993,40858_1993.txt,,1993,"117,000",,,,,
719241,1993,719241_1993.txt,,1979,"3,140",,Indiana,,,
860521,1993,860521_1993.txt,Texas,1992,,,,,,
71297,1993,71297_1993.txt,Mass,1993,"5,000",,,,Dickson,
225971,1993,225971_1993.txt,New York,1993,"2,473",,,,,
38777,1993,38777_1993.txt,Delaware,1985,"3,500",,,,,
89966,1993,89966_1993.txt,Nevada,1960,,,Nevada,,Morledge,
22764,1993,22764_1993.txt,,1983,"6,968",,,,,
310979,1993,310979_1993.txt,,1978,,,,,Brown,
902791,1993,902791_1993.txt,Maryland,1965,"7,615",,,,,
750234,1993,750234_1993.txt,Virginia,1983,685,,,,,
745308,1993,745308_1993.txt,,1936,"5,160",,,,,
20388,1993,20388_1993.txt,,,"2,424",,New York,,,
789933,1993,789933_1993.txt,,1986,"5,000",,,,,
24545,1993,24545_1993.txt,Colorado,1992,679,,,,,
202584,1993,202584_1993.txt,Florida,1926,"16,679",,,,,
96935,1993,96935_1993.txt,Delaware,1960,,,,,,
790650,1993,790650_1993.txt,February,1986,"2,500",,Connecticut,,,
96919,1993,96919_1993.txt,,1970,"11,100",,Florida,,,
68412,1993,68412_1993.txt,Wisconsin,1910,"1,298",,,,,
720695,1993,720695_1993.txt,New York,1987,,,New York,,,
54476,1993,54476_1993.txt,Missouri,1922,"2,735",,,,,
356050,1993,356050_1993.txt,California,1993,94,,,,,
863517,1993,863517_1993.txt,January,1993,999,,,,,
21344,1993,21344_1993.txt,September,1993,,,,,,
806085,1993,806085_1993.txt,Lehman Brothers Financial Products Inc,1993,,,New York,,,
39263,1993,39263_1993.txt,Delaware,1977,,,,,,
86104,1993,86104_1993.txt,,1988,"7,360",,,,,
66570,1993,66570_1993.txt,,1993,"4,600",,,,,
6082,1993,6082_1993.txt,Delaware,1930,,,Pennsylvania,,,
6879,1993,6879_1993.txt,New York,1906,"20,007",,,,,
92342,1993,92342_1993.txt,Alabama,1993,298,,,,,
89089,1993,89089_1993.txt,Texas,1993,,,,,,
100858,1993,100858_1993.txt,Kentucky,1901,90,,,,,
894405,1993,894405_1993.txt,Delaware,1935,,,,,,
840260,1993,840260_1993.txt,,1993,95,,California,,Scotti,
64394,1993,64394_1993.txt,,1930,,,Ohio,"multiple systems and folding carton packaging in Europe, Asia and Latin America",,
40888,1993,40888_1993.txt,Ohio,1915,,,,,,
75234,1993,75234_1993.txt,,1938,"16,600",,Ohio,,,
72331,1993,72331_1993.txt,,1993,"3,102",,,,,
355069,1993,355069_1993.txt,,1963,"7,000",December 31,,,Hostetter,
310823,1993,310823_1993.txt,,1993,300,,,,,
704386,1993,704386_1993.txt,May,1993,"2,659",,,,,
831001,1993,831001_1993.txt,,1991,,,New York,,,
724941,1993,724941_1993.txt,,1993,"2,502",December 31,,,,
50172,1993,50172_1993.txt,New York,1906,"20,007",,,,,
60302,1993,60302_1993.txt,Delaware,,"3,500",,,,,
15615,1993,15615_1993.txt,Florida,1968,,,,,,
48732,1993,48732_1993.txt,Texas,1976,"11,350",,,,Carroll,
4427,1993,4427_1993.txt,,1970,"5,552",,,,,
850693,1993,850693_1993.txt,California,1948,,,,,,
18654,1993,18654_1993.txt,,1902,,,,electricity and natural gas in portions of central and southern Illinois,,
110430,1993,110430_1993.txt,Canada,1949,417,,,"crude oil refining and wholesale marketing of refined petroleum products, including various grades of gasoline, diesel fuel, asphalt, natural gas liqu",,
79209,1993,79209_1993.txt,Delaware,1946,,,,,,
77278,1993,77278_1993.txt,,1930,"1,355",,,,Burg,
71675,1993,71675_1993.txt,New York,1994,"4,746",,,,,
826675,1993,826675_1993.txt,Virginia,1987,150,,,,,
718077,1993,718077_1993.txt,,1983,13,,Kentucky,,,
87949,1993,87949_1993.txt,Pennsylvania,1922,,,Pennsylvania,,,
723916,1993,723916_1993.txt,,1986,,,,"banking are (i) Meridian Bank, formed in 1986 as a result of the merger of the Registrant's then-existing three banking subsidiaries (American Bank an",,
88121,1993,88121_1993.txt,,1928,"10,891",,,,,
897729,1993,897729_1993.txt,June,1993,"3,800",,,,Trump,
230602,1993,230602_1993.txt,February,1993,"1,589",,,,,
58091,1993,58091_1993.txt,,1994,537,,,,,
25598,1993,25598_1993.txt,Indiana,1927,,,,,,
